Record_id,Date,Year_month,Country,Region,Facility_id,Facility_type,Service_type,Client_age_group,Client_gender,Visit_volume,Direct_cost_usd,Indirect_cost_usd,Total_cost_usd,Social_value_per_visit,Social_value_usd,Roi,Cumulative_visits,Region_lat,Region_lon
7286,2026-03-25,2026-03,Ethiopia,Addis Ababa,Eth_Add_Cl_1,Clinic,Post-abortion Care,15-24,Male,5,300,113 ,413 ,"1,500 ","7,500 ",17.2 ,153,9.032,38.7469
4661,2026-04-01,2026-04,Ethiopia,Addis Ababa,Eth_Add_Cl_1,Clinic,Child Immunization,35-44,Female,14,168,248 ,416 ,250 ,"3,500 ",7.4 ,167,9.032,38.7469
5138,2026-04-12,2026-04,Ethiopia,Addis Ababa,Eth_Add_Cl_1,Clinic,Family Planning,25-34,Male,11,165,96 ,261 ,120 ,"1,320 ",4.1 ,178,9.032,38.7469
8409,2026-04-28,2026-04,Ethiopia,Addis Ababa,Eth_Add_Cl_1,Clinic,Malaria Prevention,45+,Female,8,64,221 ,285 ,180 ,"1,440 ",4.1 ,186,9.032,38.7469
3009,2026-05-04,2026-05,Ethiopia,Addis Ababa,Eth_Add_Cl_1,Clinic,Malaria Prevention,15-24,Male,8,64,49 ,113 ,180 ,"1,440 ",11.8 ,194,9.032,38.7469
2518,2025-01-04,2025-01,Ethiopia,Addis Ababa,Eth_Add_Cl_2,Clinic,Family Planning,25-34,Male,17,255,479 ,734 ,120 ,"2,040 ",1.8 ,17,9.032,38.7469
1242,2025-02-16,2025-02,Ethiopia,Addis Ababa,Eth_Add_Cl_2,Clinic,Family Planning,45+,Male,11,165,141 ,306 ,120 ,"1,320 ",3.3 ,28,9.032,38.7469
7724,2025-03-02,2025-03,Ethiopia,Addis Ababa,Eth_Add_Cl_2,Clinic,HIV Testing,35-44,Male,10,200,103 ,303 ,300 ,"3,000 ",8.9 ,38,9.032,38.7469
7845,2025-03-04,2025-03,Ethiopia,Addis Ababa,Eth_Add_Cl_2,Clinic,Post-abortion Care,45+,Female,2,120,35 ,155 ,"1,500 ","3,000 ",18.4 ,40,9.032,38.7469
507,2025-03-18,2025-03,Ethiopia,Addis Ababa,Eth_Add_Cl_2,Clinic,Child Immunization,15-24,Male,18,216,388 ,604 ,250 ,"4,500 ",6.4 ,58,9.032,38.7469
698,2025-03-29,2025-03,Ethiopia,Addis Ababa,Eth_Add_Cl_2,Clinic,HIV Testing,25-34,Male,9,180,93 ,273 ,300 ,"2,700 ",8.9 ,67,9.032,38.7469
6189,2025-04-17,2025-04,Ethiopia,Addis Ababa,Eth_Add_Cl_2,Clinic,HIV Testing,15-24,Male,10,200,98 ,298 ,300 ,"3,000 ",9.1 ,77,9.032,38.7469
859,2025-06-01,2025-06,Ethiopia,Addis Ababa,Eth_Add_Cl_2,Clinic,Maternal Health,35-44,Female,11,495,186 ,681 ,800 ,"8,800 ",11.9 ,88,9.032,38.7469
6603,2025-06-05,2025-06,Ethiopia,Addis Ababa,Eth_Add_Cl_2,Clinic,Child Immunization,15-24,Female,17,204,486 ,690 ,250 ,"4,250 ",5.2 ,105,9.032,38.7469
3228,2025-06-06,2025-06,Ethiopia,Addis Ababa,Eth_Add_Cl_2,Clinic,Family Planning,45+,Male,11,165,154 ,319 ,120 ,"1,320 ",3.1 ,116,9.032,38.7469
8244,2025-06-26,2025-06,Ethiopia,Addis Ababa,Eth_Add_Cl_2,Clinic,Malaria Prevention,15-24,Female,5,40,48 ,88 ,180 ,900 ,9.3 ,121,9.032,38.7469
6329,2025-10-06,2025-10,Ethiopia,Addis Ababa,Eth_Add_Cl_2,Clinic,Child Immunization,35-44,Male,18,216,345 ,561 ,250 ,"4,500 ",7.0 ,139,9.032,38.7469
4331,2025-10-27,2025-10,Ethiopia,Addis Ababa,Eth_Add_Cl_2,Clinic,Maternal Health,45+,Male,11,495,293 ,788 ,800 ,"8,800 ",10.2 ,150,9.032,38.7469
6448,2025-10-28,2025-10,Ethiopia,Addis Ababa,Eth_Add_Cl_2,Clinic,HIV Testing,45+,Male,6,120,145 ,265 ,300 ,"1,800 ",5.8 ,156,9.032,38.7469
1761,2025-11-02,2025-11,Ethiopia,Addis Ababa,Eth_Add_Cl_2,Clinic,Malaria Prevention,45+,Male,8,64,210 ,274 ,180 ,"1,440 ",4.3 ,164,9.032,38.7469
5099,2025-11-06,2025-11,Ethiopia,Addis Ababa,Eth_Add_Cl_2,Clinic,Post-abortion Care,25-34,Male,2,120,11 ,131 ,"1,500 ","3,000 ",21.9 ,166,9.032,38.7469
509,2025-12-01,2025-12,Ethiopia,Addis Ababa,Eth_Add_Cl_2,Clinic,HIV Testing,45+,Male,4,80,43 ,123 ,300 ,"1,200 ",8.7 ,170,9.032,38.7469
8713,2025-12-11,2025-12,Ethiopia,Addis Ababa,Eth_Add_Cl_2,Clinic,Malaria Prevention,35-44,Male,10,80,144 ,224 ,180 ,"1,800 ",7.0 ,180,9.032,38.7469
6348,2025-12-22,2025-12,Ethiopia,Addis Ababa,Eth_Add_Cl_2,Clinic,Maternal Health,25-34,Female,7,315,132 ,447 ,800 ,"5,600 ",11.5 ,187,9.032,38.7469
5713,2026-03-19,2026-03,Ethiopia,Addis Ababa,Eth_Add_Cl_2,Clinic,Malaria Prevention,15-24,Female,10,80,105 ,185 ,180 ,"1,800 ",8.8 ,197,9.032,38.7469
299,2026-04-14,2026-04,Ethiopia,Addis Ababa,Eth_Add_Cl_2,Clinic,Maternal Health,25-34,Male,6,270,37 ,307 ,800 ,"4,800 ",14.6 ,203,9.032,38.7469
6013,2025-01-02,2025-01,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,Family Planning,15-24,Male,12,180,93 ,273 ,120 ,"1,440 ",4.3 ,12,9.032,38.7469
169,2025-01-15,2025-01,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,HIV Testing,15-24,Male,7,140,100 ,240 ,300 ,"2,100 ",7.8 ,19,9.032,38.7469
3528,2025-01-21,2025-01,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,Malaria Prevention,15-24,Female,7,56,136 ,192 ,180 ,"1,260 ",5.6 ,26,9.032,38.7469
5928,2025-02-24,2025-02,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,Malaria Prevention,15-24,Male,6,48,73 ,121 ,180 ,"1,080 ",7.9 ,32,9.032,38.7469
2460,2025-03-25,2025-03,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,Post-abortion Care,15-24,Female,6,360,108 ,468 ,"1,500 ","9,000 ",18.2 ,38,9.032,38.7469
39,2025-05-15,2025-05,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,Malaria Prevention,35-44,Male,9,72,116 ,188 ,180 ,"1,620 ",7.6 ,47,9.032,38.7469
6277,2025-06-22,2025-06,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,Child Immunization,45+,Male,25,300,714 ,"1,014 ",250 ,"6,250 ",5.2 ,72,9.032,38.7469
2415,2025-07-02,2025-07,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,HIV Testing,15-24,Male,7,140,92 ,232 ,300 ,"2,100 ",8.1 ,79,9.032,38.7469
6803,2025-07-06,2025-07,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,HIV Testing,15-24,Male,6,120,103 ,223 ,300 ,"1,800 ",7.1 ,85,9.032,38.7469
3964,2025-09-02,2025-09,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,Post-abortion Care,15-24,Male,1,60,6 ,66 ,"1,500 ","1,500 ",21.7 ,86,9.032,38.7469
350,2025-09-18,2025-09,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,Family Planning,25-34,Female,13,195,80 ,275 ,120 ,"1,560 ",4.7 ,99,9.032,38.7469
7665,2025-12-01,2025-12,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,Child Immunization,25-34,Male,23,276,346 ,622 ,250 ,"5,750 ",8.2 ,122,9.032,38.7469
6653,2025-12-03,2025-12,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,Post-abortion Care,45+,Male,1,60,8 ,68 ,"1,500 ","1,500 ",21.0 ,123,9.032,38.7469
8459,2025-12-13,2025-12,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,Malaria Prevention,15-24,Male,11,88,56 ,144 ,180 ,"1,980 ",12.7 ,134,9.032,38.7469
1308,2025-12-14,2025-12,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,Child Immunization,15-24,Male,16,192,374 ,566 ,250 ,"4,000 ",6.1 ,150,9.032,38.7469
322,2025-12-20,2025-12,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,Maternal Health,35-44,Female,14,630,171 ,801 ,800 ,"11,200 ",13.0 ,164,9.032,38.7469
8416,2026-01-11,2026-01,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,HIV Testing,35-44,Female,5,100,83 ,183 ,300 ,"1,500 ",7.2 ,169,9.032,38.7469
1211,2026-01-15,2026-01,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,Maternal Health,15-24,Female,10,450,115 ,565 ,800 ,"8,000 ",13.2 ,179,9.032,38.7469
2463,2026-02-07,2026-02,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,Maternal Health,35-44,Male,9,405,200 ,605 ,800 ,"7,200 ",10.9 ,188,9.032,38.7469
2558,2026-02-18,2026-02,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,Child Immunization,45+,Male,24,288,592 ,880 ,250 ,"6,000 ",5.8 ,212,9.032,38.7469
6914,2026-03-12,2026-03,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,HIV Testing,45+,Female,2,40,57 ,97 ,300 ,600 ,5.2 ,214,9.032,38.7469
8159,2026-04-29,2026-04,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,HIV Testing,25-34,Male,6,120,171 ,291 ,300 ,"1,800 ",5.2 ,220,9.032,38.7469
2990,2026-05-20,2026-05,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,Malaria Prevention,25-34,Female,11,88,110 ,198 ,180 ,"1,980 ",9.0 ,231,9.032,38.7469
5695,2026-05-20,2026-05,Ethiopia,Addis Ababa,Eth_Add_Cl_3,Clinic,Malaria Prevention,45+,Male,9,72,179 ,251 ,180 ,"1,620 ",5.5 ,240,9.032,38.7469
8425,2025-01-10,2025-01,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,HIV Testing,35-44,Female,3,60,21 ,81 ,300 ,900 ,10.1 ,3,9.032,38.7469
5258,2025-01-11,2025-01,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,Maternal Health,15-24,Male,7,315,101 ,416 ,800 ,"5,600 ",12.5 ,10,9.032,38.7469
1428,2025-02-08,2025-02,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,Family Planning,35-44,Female,13,195,295 ,490 ,120 ,"1,560 ",2.2 ,23,9.032,38.7469
6660,2025-02-12,2025-02,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,Child Immunization,35-44,Female,18,216,171 ,387 ,250 ,"4,500 ",10.6 ,41,9.032,38.7469
3507,2025-03-08,2025-03,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,HIV Testing,25-34,Female,8,160,203 ,363 ,300 ,"2,400 ",5.6 ,49,9.032,38.7469
793,2025-03-27,2025-03,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,Family Planning,35-44,Female,16,240,114 ,354 ,120 ,"1,920 ",4.4 ,65,9.032,38.7469
2054,2025-04-19,2025-04,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,Post-abortion Care,15-24,Male,5,300,111 ,411 ,"1,500 ","7,500 ",17.3 ,70,9.032,38.7469
4287,2025-04-21,2025-04,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,HIV Testing,35-44,Male,7,140,115 ,255 ,300 ,"2,100 ",7.2 ,77,9.032,38.7469
6087,2025-05-20,2025-05,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,HIV Testing,15-24,Male,10,200,124 ,324 ,300 ,"3,000 ",8.3 ,87,9.032,38.7469
745,2025-05-22,2025-05,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,Malaria Prevention,15-24,Female,10,80,162 ,242 ,180 ,"1,800 ",6.4 ,97,9.032,38.7469
8330,2025-06-06,2025-06,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,HIV Testing,45+,Male,5,100,47 ,147 ,300 ,"1,500 ",9.2 ,102,9.032,38.7469
4204,2025-07-21,2025-07,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,Child Immunization,35-44,Male,14,168,209 ,377 ,250 ,"3,500 ",8.3 ,116,9.032,38.7469
3073,2025-07-31,2025-07,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,Maternal Health,35-44,Female,10,450,172 ,622 ,800 ,"8,000 ",11.9 ,126,9.032,38.7469
5071,2025-09-05,2025-09,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,Family Planning,15-24,Female,11,165,62 ,227 ,120 ,"1,320 ",4.8 ,137,9.032,38.7469
6311,2025-09-20,2025-09,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,Maternal Health,45+,Male,8,360,87 ,447 ,800 ,"6,400 ",13.3 ,145,9.032,38.7469
413,2025-11-23,2025-11,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,HIV Testing,45+,Female,5,100,66 ,166 ,300 ,"1,500 ",8.1 ,150,9.032,38.7469
2613,2025-11-28,2025-11,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,Post-abortion Care,25-34,Male,6,360,142 ,502 ,"1,500 ","9,000 ",16.9 ,156,9.032,38.7469
4560,2026-03-08,2026-03,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,Maternal Health,45+,Male,9,405,153 ,558 ,800 ,"7,200 ",11.9 ,165,9.032,38.7469
6193,2026-03-11,2026-03,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,Child Immunization,45+,Female,12,144,257 ,401 ,250 ,"3,000 ",6.5 ,177,9.032,38.7469
1691,2026-03-20,2026-03,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,Maternal Health,45+,Male,6,270,40 ,310 ,800 ,"4,800 ",14.5 ,183,9.032,38.7469
8845,2026-03-27,2026-03,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,Maternal Health,15-24,Male,11,495,292 ,787 ,800 ,"8,800 ",10.2 ,194,9.032,38.7469
6805,2026-04-01,2026-04,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,Family Planning,15-24,Female,14,210,71 ,281 ,120 ,"1,680 ",5.0 ,208,9.032,38.7469
560,2026-04-28,2026-04,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,Post-abortion Care,35-44,Female,3,180,63 ,243 ,"1,500 ","4,500 ",17.5 ,211,9.032,38.7469
5429,2026-05-28,2026-05,Ethiopia,Addis Ababa,Eth_Add_Cl_4,Clinic,Maternal Health,45+,Male,6,270,169 ,439 ,800 ,"4,800 ",9.9 ,217,9.032,38.7469
6293,2025-01-15,2025-01,Ethiopia,Addis Ababa,Eth_Add_Cl_5,Clinic,Family Planning,15-24,Female,13,195,278 ,473 ,120 ,"1,560 ",2.3 ,13,9.032,38.7469
5262,2025-01-19,2025-01,Ethiopia,Addis Ababa,Eth_Add_Cl_5,Clinic,Family Planning,15-24,Male,19,285,359 ,644 ,120 ,"2,280 ",2.5 ,32,9.032,38.7469
7343,2025-03-06,2025-03,Ethiopia,Addis Ababa,Eth_Add_Cl_5,Clinic,Maternal Health,45+,Female,9,405,115 ,520 ,800 ,"7,200 ",12.8 ,41,9.032,38.7469
1495,2025-03-25,2025-03,Ethiopia,Addis Ababa,Eth_Add_Cl_5,Clinic,HIV Testing,45+,Male,6,120,178 ,298 ,300 ,"1,800 ",5.0 ,47,9.032,38.7469
7390,2025-04-19,2025-04,Ethiopia,Addis Ababa,Eth_Add_Cl_5,Clinic,Family Planning,45+,Female,16,240,331 ,571 ,120 ,"1,920 ",2.4 ,63,9.032,38.7469
4380,2025-05-26,2025-05,Ethiopia,Addis Ababa,Eth_Add_Cl_5,Clinic,Family Planning,45+,Male,9,135,120 ,255 ,120 ,"1,080 ",3.2 ,72,9.032,38.7469
3653,2025-06-06,2025-06,Ethiopia,Addis Ababa,Eth_Add_Cl_5,Clinic,Maternal Health,35-44,Female,6,270,173 ,443 ,800 ,"4,800 ",9.8 ,78,9.032,38.7469
8460,2025-06-27,2025-06,Ethiopia,Addis Ababa,Eth_Add_Cl_5,Clinic,HIV Testing,35-44,Female,8,160,85 ,245 ,300 ,"2,400 ",8.8 ,86,9.032,38.7469
852,2025-08-11,2025-08,Ethiopia,Addis Ababa,Eth_Add_Cl_5,Clinic,Malaria Prevention,15-24,Male,7,56,174 ,230 ,180 ,"1,260 ",4.5 ,93,9.032,38.7469
7022,2025-08-21,2025-08,Ethiopia,Addis Ababa,Eth_Add_Cl_5,Clinic,Maternal Health,15-24,Male,8,360,59 ,419 ,800 ,"6,400 ",14.3 ,101,9.032,38.7469
3662,2025-10-11,2025-10,Ethiopia,Addis Ababa,Eth_Add_Cl_5,Clinic,HIV Testing,15-24,Female,3,60,23 ,83 ,300 ,900 ,9.9 ,104,9.032,38.7469
3418,2025-11-15,2025-11,Ethiopia,Addis Ababa,Eth_Add_Cl_5,Clinic,Malaria Prevention,15-24,Male,6,48,139 ,187 ,180 ,"1,080 ",4.8 ,110,9.032,38.7469
4735,2025-12-16,2025-12,Ethiopia,Addis Ababa,Eth_Add_Cl_5,Clinic,Family Planning,15-24,Male,9,135,241 ,376 ,120 ,"1,080 ",1.9 ,119,9.032,38.7469
764,2025-12-17,2025-12,Ethiopia,Addis Ababa,Eth_Add_Cl_5,Clinic,Family Planning,25-34,Male,8,120,103 ,223 ,120 ,960 ,3.3 ,127,9.032,38.7469
3400,2025-12-24,2025-12,Ethiopia,Addis Ababa,Eth_Add_Cl_5,Clinic,Child Immunization,15-24,Female,11,132,278 ,410 ,250 ,"2,750 ",5.7 ,138,9.032,38.7469
3447,2026-01-29,2026-01,Ethiopia,Addis Ababa,Eth_Add_Cl_5,Clinic,Maternal Health,35-44,Female,11,495,93 ,588 ,800 ,"8,800 ",14.0 ,149,9.032,38.7469
5602,2026-02-27,2026-02,Ethiopia,Addis Ababa,Eth_Add_Cl_5,Clinic,Post-abortion Care,15-24,Female,2,120,30 ,150 ,"1,500 ","3,000 ",19.0 ,151,9.032,38.7469
8348,2026-04-30,2026-04,Ethiopia,Addis Ababa,Eth_Add_Cl_5,Clinic,Child Immunization,45+,Female,16,192,221 ,413 ,250 ,"4,000 ",8.7 ,167,9.032,38.7469
4150,2026-05-08,2026-05,Ethiopia,Addis Ababa,Eth_Add_Cl_5,Clinic,Maternal Health,25-34,Female,9,405,174 ,579 ,800 ,"7,200 ",11.4 ,176,9.032,38.7469
1255,2026-05-13,2026-05,Ethiopia,Addis Ababa,Eth_Add_Cl_5,Clinic,Child Immunization,45+,Female,9,108,206 ,314 ,250 ,"2,250 ",6.2 ,185,9.032,38.7469
7746,2026-05-13,2026-05,Ethiopia,Addis Ababa,Eth_Add_Cl_5,Clinic,Post-abortion Care,45+,Male,1,60,30 ,90 ,"1,500 ","1,500 ",15.7 ,186,9.032,38.7469
216,2025-03-22,2025-03,Ethiopia,Addis Ababa,Eth_Add_Cl_6,Clinic,Post-abortion Care,35-44,Male,3,180,32 ,212 ,"1,500 ","4,500 ",20.3 ,3,9.032,38.7469
1359,2025-04-09,2025-04,Ethiopia,Addis Ababa,Eth_Add_Cl_6,Clinic,Child Immunization,45+,Female,18,216,479 ,695 ,250 ,"4,500 ",5.5 ,21,9.032,38.7469
3535,2025-05-24,2025-05,Ethiopia,Addis Ababa,Eth_Add_Cl_6,Clinic,Post-abortion Care,15-24,Female,6,360,134 ,494 ,"1,500 ","9,000 ",17.2 ,27,9.032,38.7469
3875,2025-06-03,2025-06,Ethiopia,Addis Ababa,Eth_Add_Cl_6,Clinic,Child Immunization,25-34,Male,14,168,263 ,431 ,250 ,"3,500 ",7.1 ,41,9.032,38.7469
1279,2025-06-18,2025-06,Ethiopia,Addis Ababa,Eth_Add_Cl_6,Clinic,Post-abortion Care,15-24,Male,4,240,96 ,336 ,"1,500 ","6,000 ",16.9 ,45,9.032,38.7469
2976,2025-06-29,2025-06,Ethiopia,Addis Ababa,Eth_Add_Cl_6,Clinic,Family Planning,25-34,Female,13,195,71 ,266 ,120 ,"1,560 ",4.9 ,58,9.032,38.7469
7670,2025-07-09,2025-07,Ethiopia,Addis Ababa,Eth_Add_Cl_6,Clinic,Child Immunization,25-34,Male,13,156,86 ,242 ,250 ,"3,250 ",12.4 ,71,9.032,38.7469
4245,2025-08-02,2025-08,Ethiopia,Addis Ababa,Eth_Add_Cl_6,Clinic,HIV Testing,35-44,Male,5,100,136 ,236 ,300 ,"1,500 ",5.4 ,76,9.032,38.7469
6830,2025-08-11,2025-08,Ethiopia,Addis Ababa,Eth_Add_Cl_6,Clinic,Family Planning,15-24,Male,23,345,230 ,575 ,120 ,"2,760 ",3.8 ,99,9.032,38.7469
1090,2025-08-14,2025-08,Ethiopia,Addis Ababa,Eth_Add_Cl_6,Clinic,Post-abortion Care,35-44,Female,7,420,92 ,512 ,"1,500 ","10,500 ",19.5 ,106,9.032,38.7469
8025,2025-09-03,2025-09,Ethiopia,Addis Ababa,Eth_Add_Cl_6,Clinic,Child Immunization,35-44,Female,12,144,218 ,362 ,250 ,"3,000 ",7.3 ,118,9.032,38.7469
7365,2025-09-17,2025-09,Ethiopia,Addis Ababa,Eth_Add_Cl_6,Clinic,Family Planning,15-24,Male,11,165,177 ,342 ,120 ,"1,320 ",2.9 ,129,9.032,38.7469
5464,2025-09-21,2025-09,Ethiopia,Addis Ababa,Eth_Add_Cl_6,Clinic,HIV Testing,45+,Female,4,80,117 ,197 ,300 ,"1,200 ",5.1 ,133,9.032,38.7469
3553,2025-09-24,2025-09,Ethiopia,Addis Ababa,Eth_Add_Cl_6,Clinic,Malaria Prevention,15-24,Female,11,88,103 ,191 ,180 ,"1,980 ",9.4 ,144,9.032,38.7469
7252,2025-09-25,2025-09,Ethiopia,Addis Ababa,Eth_Add_Cl_6,Clinic,Family Planning,45+,Male,14,210,302 ,512 ,120 ,"1,680 ",2.3 ,158,9.032,38.7469
750,2025-10-21,2025-10,Ethiopia,Addis Ababa,Eth_Add_Cl_6,Clinic,Malaria Prevention,15-24,Female,6,48,126 ,174 ,180 ,"1,080 ",5.2 ,164,9.032,38.7469
2218,2025-10-31,2025-10,Ethiopia,Addis Ababa,Eth_Add_Cl_6,Clinic,Post-abortion Care,45+,Male,3,180,50 ,230 ,"1,500 ","4,500 ",18.6 ,167,9.032,38.7469
4014,2025-11-02,2025-11,Ethiopia,Addis Ababa,Eth_Add_Cl_6,Clinic,Malaria Prevention,45+,Female,10,80,281 ,361 ,180 ,"1,800 ",4.0 ,177,9.032,38.7469
6172,2025-11-14,2025-11,Ethiopia,Addis Ababa,Eth_Add_Cl_6,Clinic,HIV Testing,45+,Male,10,200,173 ,373 ,300 ,"3,000 ",7.0 ,187,9.032,38.7469
6327,2025-11-19,2025-11,Ethiopia,Addis Ababa,Eth_Add_Cl_6,Clinic,Family Planning,15-24,Male,14,210,293 ,503 ,120 ,"1,680 ",2.3 ,201,9.032,38.7469
7855,2025-11-19,2025-11,Ethiopia,Addis Ababa,Eth_Add_Cl_6,Clinic,Maternal Health,25-34,Female,9,405,166 ,571 ,800 ,"7,200 ",11.6 ,210,9.032,38.7469
